CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,STATUS_ID,TABLE_NAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,PRODUCTLINE,MSRP,YEAR_ID,MONTH_ID,QTR_ID
"Saveley & Henriot, Co.",10194.0,S10_1949,2003-11-25,42.0,100.0,7290.36,11.0,Shipped,Large,31.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Canadian Gift Exchange Network,10206.0,S10_1949,2003-12-05,47.0,100.0,9064.89,6.0,Shipped,Large,32.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
West Coast Collectables Co.,10215.0,S10_1949,2004-01-29,35.0,100.0,6075.3,3.0,Shipped,Medium,33.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Cambridge Collectables Co.,10228.0,S10_1949,2004-03-10,29.0,100.0,6463.23,2.0,Shipped,Medium,34.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Super Scale Inc.,10245.0,S10_1949,2004-05-04,34.0,100.0,6120.34,9.0,Shipped,Medium,35.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Tokyo Collectables, Ltd",10258.0,S10_1949,2004-06-15,32.0,100.0,7680.64,6.0,Shipped,Large,36.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10270.0,S10_1949,2004-07-19,21.0,100.0,4905.39,9.0,Shipped,Medium,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Amica Models & Co.,10280.0,S10_1949,2004-08-17,34.0,100.0,8014.82,2.0,Shipped,Large,37.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10291.0,S10_1949,2004-09-08,37.0,100.0,7136.19,11.0,Shipped,Large,38.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Assoc. & Cie.,10304.0,S10_1949,2004-10-11,47.0,100.0,10172.7,6.0,Shipped,Large,39.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10312.0,S10_1949,2004-10-21,48.0,100.0,11623.7,3.0,Shipped,Large,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Online Diecast Creations Co.,10322.0,S10_1949,2004-11-04,40.0,100.0,6000.4,1.0,Shipped,Medium,41.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10333.0,S10_1949,2004-11-18,26.0,100.0,3003.0,3.0,Shipped,Medium,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10347.0,S10_1949,2004-11-29,30.0,100.0,3944.7,1.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10357.0,S10_1949,2004-12-10,32.0,100.0,5691.84,10.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectables For Less Inc.,10369.0,S10_1949,2005-01-20,41.0,100.0,4514.92,2.0,Shipped,Medium,42.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10381.0,S10_1949,2005-02-17,36.0,100.0,8254.8,3.0,Shipped,Large,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Anna's Decorations, Ltd",10391.0,S10_1949,2005-03-09,24.0,100.0,2416.56,4.0,Shipped,Small,43.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Quebec Home Shopping Network,10411.0,S10_1949,2005-05-01,23.0,100.0,4140.23,9.0,Shipped,Medium,44.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10424.0,S10_1949,2005-05-31,50.0,100.0,12001.0,6.0,In Process,Large,24.0,3.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10107.0,S10_2016,2003-02-24,39.0,99.91,3896.49,5.0,Shipped,Medium,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10120.0,S10_2016,2003-04-29,29.0,96.34,2793.86,3.0,Shipped,Small,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Lyon Souveniers,10134.0,S10_2016,2003-07-01,27.0,100.0,3307.77,5.0,Shipped,Medium,3.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Toys4GrownUps.com,10145.0,S10_2016,2003-08-25,37.0,100.0,5192.95,9.0,Shipped,Medium,4.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10159.0,S10_2016,2003-10-10,37.0,100.0,5016.83,17.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10168.0,S10_2016,2003-10-28,27.0,100.0,3660.93,4.0,Shipped,Medium,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Daedalus Designs Imports,10180.0,S10_2016,2003-11-11,42.0,100.0,4695.6,12.0,Shipped,Medium,7.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Herkku Gifts,10188.0,S10_2016,2003-11-18,38.0,96.34,3660.92,4.0,Shipped,Medium,8.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10201.0,S10_2016,2003-12-01,24.0,100.0,3025.92,5.0,Shipped,Medium,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Osaka Souveniers Co.,10210.0,S10_2016,2004-01-12,23.0,100.0,3009.09,2.0,Shipped,Medium,45.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10223.0,S10_2016,2004-02-20,47.0,100.0,5422.39,4.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Motor Mint Distributors Inc.,10236.0,S10_2016,2004-04-03,22.0,100.0,2852.08,1.0,Shipped,Small,46.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Tekni Collectables Inc.,10251.0,S10_2016,2004-05-18,44.0,100.0,5756.52,5.0,Shipped,Medium,13.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gift Depot Inc.,10263.0,S10_2016,2004-06-28,40.0,100.0,4472.0,5.0,Shipped,Medium,14.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
La Rochelle Gifts,10275.0,S10_2016,2004-07-23,22.0,100.0,2904.44,4.0,Shipped,Small,15.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Marta's Replicas Co.,10285.0,S10_2016,2004-08-27,47.0,100.0,6484.59,9.0,Shipped,Medium,16.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Atelier graphique,10298.0,S10_2016,2004-09-27,39.0,96.34,3757.26,1.0,Shipped,Medium,47.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Classics,10308.0,S10_2016,2004-10-15,34.0,100.0,4043.96,2.0,Shipped,Medium,48.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Diecast Classics Inc.,10318.0,S10_2016,2004-11-02,45.0,100.0,5566.5,4.0,Shipped,Medium,19.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10329.0,S10_2016,2004-11-15,20.0,100.0,3176.0,2.0,Shipped,Medium,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Tokyo Collectables, Ltd",10339.0,S10_2016,2004-11-23,40.0,68.92,2756.8,4.0,Shipped,Small,36.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10361.0,S10_2016,2004-12-17,26.0,51.15,1329.9,8.0,Shipped,Small,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Gift Network, Co",10374.0,S10_2016,2005-02-02,39.0,100.0,5288.01,5.0,Shipped,Medium,29.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
FunGiftIdeas.com,10388.0,S10_2016,2005-03-03,50.0,44.51,2225.5,5.0,Shipped,Small,22.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Auto Canal Petit,10402.0,S10_2016,2005-04-07,45.0,100.0,5833.8,1.0,Shipped,Medium,10.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10417.0,S10_2016,2005-05-13,45.0,100.0,5887.35,5.0,Disputed,Medium,24.0,2.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10107.0,S10_4698,2003-02-24,27.0,100.0,6065.55,4.0,Shipped,Medium,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10120.0,S10_4698,2003-04-29,46.0,100.0,9264.86,2.0,Shipped,Large,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Lyon Souveniers,10134.0,S10_4698,2003-07-01,31.0,100.0,7023.98,4.0,Shipped,Large,3.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Toys4GrownUps.com,10145.0,S10_4698,2003-08-25,33.0,100.0,5176.38,8.0,Shipped,Medium,4.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10159.0,S10_4698,2003-10-10,22.0,100.0,4132.7,16.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10168.0,S10_4698,2003-10-28,20.0,100.0,4183.0,3.0,Shipped,Medium,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Daedalus Designs Imports,10180.0,S10_4698,2003-11-11,41.0,100.0,8892.9,11.0,Shipped,Large,7.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Herkku Gifts,10188.0,S10_4698,2003-11-18,45.0,100.0,8714.7,3.0,Shipped,Large,8.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Wheels Co.,10201.0,S10_4698,2003-12-01,49.0,100.0,8065.89,4.0,Shipped,Large,9.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Osaka Souveniers Co.,10210.0,S10_4698,2004-01-12,34.0,100.0,6123.4,1.0,Shipped,Medium,45.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10223.0,S10_4698,2004-02-20,49.0,100.0,9774.03,3.0,Shipped,Large,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Vitachrome Inc.,10237.0,S10_4698,2004-04-05,39.0,100.0,7023.9,9.0,Shipped,Large,12.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Tekni Collectables Inc.,10251.0,S10_4698,2004-05-18,43.0,100.0,7078.23,4.0,Shipped,Large,13.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gift Depot Inc.,10263.0,S10_4698,2004-06-28,41.0,100.0,8336.94,4.0,Shipped,Large,14.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
La Rochelle Gifts,10275.0,S10_4698,2004-07-23,36.0,100.0,6901.92,3.0,Shipped,Medium,15.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Marta's Replicas Co.,10285.0,S10_4698,2004-08-27,27.0,100.0,5438.07,8.0,Shipped,Medium,16.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Toys of Finland, Co.",10299.0,S10_4698,2004-09-30,29.0,100.0,6683.34,11.0,Shipped,Medium,17.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Classics,10308.0,S10_4698,2004-10-15,20.0,100.0,4570.4,1.0,Shipped,Medium,48.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Diecast Classics Inc.,10318.0,S10_4698,2004-11-02,37.0,100.0,7667.14,3.0,Shipped,Large,19.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10329.0,S10_4698,2004-11-15,26.0,100.0,5868.2,3.0,Shipped,Medium,1.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Tokyo Collectables, Ltd",10339.0,S10_4698,2004-11-23,39.0,76.67,2990.13,3.0,Shipped,Small,36.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10362.0,S10_4698,2005-01-05,22.0,100.0,3664.1,4.0,Shipped,Medium,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Gift Network, Co",10374.0,S10_4698,2005-02-02,22.0,100.0,3834.38,1.0,Shipped,Medium,29.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
FunGiftIdeas.com,10388.0,S10_4698,2005-03-03,21.0,86.77,1822.17,7.0,Shipped,Small,22.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"UK Collectables, Ltd.",10403.0,S10_4698,2005-04-08,66.0,100.0,11886.6,9.0,Shipped,Large,23.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10417.0,S10_4698,2005-05-13,56.0,100.0,9218.16,4.0,Disputed,Large,24.0,2.0,Fact_Sales,,,,,,,,,,,,,,,
Danish Wholesale Imports,10105.0,S10_4757,2003-02-11,50.0,100.0,7208.0,2.0,Shipped,Large,49.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Salzburg Collectables,10119.0,S10_4757,2003-04-28,46.0,100.0,5004.8,11.0,Shipped,Medium,20.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Stylish Desk Decors, Co.",10129.0,S10_4757,2003-06-12,33.0,100.0,4398.24,2.0,Shipped,Medium,50.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Creations Ltd.,10143.0,S10_4757,2003-08-10,49.0,100.0,5597.76,15.0,Shipped,Medium,51.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Toys of Finland, Co.",10155.0,S10_4757,2003-10-06,32.0,100.0,4526.08,13.0,Shipped,Medium,17.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10167.0,S10_4757,2003-10-23,44.0,100.0,5924.16,9.0,Cancelled,Medium,38.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Alpha Cognac,10178.0,S10_4757,2003-11-08,24.0,100.0,3492.48,12.0,Shipped,Medium,52.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Double Decker Gift Stores, Ltd",10186.0,S10_4757,2003-11-14,26.0,100.0,3854.24,9.0,Shipped,Medium,53.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Enaco Distributors,10197.0,S10_4757,2003-11-26,45.0,100.0,5324.4,6.0,Shipped,Medium,54.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Men 'R' US Retailers, Ltd.",10209.0,S10_4757,2004-01-09,39.0,100.0,5197.92,8.0,Shipped,Medium,55.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Collectable Mini Designs Co.,10222.0,S10_4757,2004-02-19,49.0,100.0,5997.6,12.0,Shipped,Medium,56.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Land of Toys Inc.,10248.0,S10_4757,2004-05-07,20.0,100.0,2910.4,3.0,Cancelled,Small,1.0,4.0,Fact_Sales,,,,,,,,,,,,,,,
Quebec Home Shopping Network,10261.0,S10_4757,2004-06-17,27.0,100.0,3378.24,1.0,Shipped,Medium,44.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Petit Auto,10273.0,S10_4757,2004-07-21,30.0,100.0,3508.8,4.0,Shipped,Medium,57.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Royal Canadian Collectables, Ltd.",10283.0,S10_4757,2004-08-20,25.0,100.0,2992.0,6.0,Shipped,Small,58.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gifts4AllAges.com,10295.0,S10_4757,2004-09-10,24.0,100.0,3427.2,1.0,Shipped,Medium,59.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10307.0,S10_4757,2004-10-14,22.0,100.0,2692.8,9.0,Shipped,Small,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
giftsbymail.co.uk,10316.0,S10_4757,2004-11-01,33.0,100.0,4128.96,17.0,Shipped,Medium,60.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10325.0,S10_4757,2004-11-05,47.0,64.93,3051.71,6.0,Shipped,Medium,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Classic Legends Inc.,10337.0,S10_4757,2004-11-21,25.0,48.05,1201.25,8.0,Shipped,Small,28.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Euro Shopping Channel,10350.0,S10_4757,2004-12-02,26.0,75.47,1962.22,5.0,Shipped,Small,24.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Reims Collectables,10359.0,S10_4757,2004-12-15,48.0,54.68,2624.64,6.0,Shipped,Small,2.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Oulu Toy Supplies, Inc.",10373.0,S10_4757,2005-01-31,39.0,100.0,4046.25,3.0,Shipped,Medium,61.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Corporate Gift Ideas Co.,10384.0,S10_4757,2005-02-23,34.0,100.0,4846.7,4.0,Shipped,Medium,5.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Lyon Souveniers,10395.0,S10_4757,2005-03-17,32.0,100.0,3370.56,2.0,Shipped,Medium,3.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
The Sharp Gifts Warehouse,10400.0,S10_4757,2005-04-01,64.0,100.0,9661.44,9.0,Shipped,Large,62.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Gifts4AllAges.com,10414.0,S10_4757,2005-05-06,19.0,100.0,2764.88,3.0,On Hold,Small,59.0,5.0,Fact_Sales,,,,,,,,,,,,,,,
Baane Mini Imports,10103.0,S10_4962,2003-01-29,42.0,100.0,5398.26,4.0,Shipped,Medium,18.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"La Corne D'abondance, Co.",10114.0,S10_4962,2003-04-01,31.0,100.0,4305.28,8.0,Shipped,Medium,63.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Corrida Auto Replicas, Ltd",10126.0,S10_4962,2003-05-28,22.0,100.0,3347.74,4.0,Shipped,Medium,26.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Technics Stores Inc.,10140.0,S10_4962,2003-07-24,26.0,100.0,3188.12,4.0,Shipped,Medium,6.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Dragon Souveniers, Ltd.",10150.0,S10_4962,2003-09-19,20.0,100.0,3191.2,1.0,Shipped,Medium,27.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Auto Werke,10164.0,S10_4962,2003-10-21,21.0,100.0,3536.82,2.0,Resolved,Medium,64.0,6.0,Fact_Sales,,,,,,,,,,,,,,,
"Stylish Desk Decors, Co.",10175.0,S10_4962,2003-11-06,33.0,100.0,5362.83,9.0,Shipped,Medium,50.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Classic Gift Ideas, Inc",10183.0,S10_4962,2003-11-13,28.0,100.0,3433.36,1.0,Shipped,Medium,30.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Saveley & Henriot, Co.",10194.0,S10_4962,2003-11-25,26.0,100.0,4263.74,4.0,Shipped,Medium,31.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Diecast Collectables,10207.0,S10_4962,2003-12-09,31.0,100.0,4076.19,15.0,Shipped,Medium,65.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Handji Gifts& Co,10217.0,S10_4962,2004-02-04,48.0,100.0,7020.48,4.0,Shipped,Large,66.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Mini Gifts Distributors Ltd.,10229.0,S10_4962,2004-03-11,50.0,100.0,6426.5,9.0,Shipped,Medium,40.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Super Scale Inc.,10245.0,S10_4962,2004-05-04,28.0,100.0,4591.72,2.0,Shipped,Medium,35.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Handji Gifts& Co,10259.0,S10_4962,2004-06-15,26.0,100.0,4033.38,12.0,Shipped,Medium,66.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Souveniers And Things Co.,10270.0,S10_4962,2004-07-19,32.0,100.0,4302.08,2.0,Shipped,Medium,21.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Diecast Classics Inc.,10281.0,S10_4962,2004-08-19,44.0,100.0,7020.64,9.0,Shipped,Large,19.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Scandinavian Gift Ideas,10291.0,S10_4962,2004-09-08,30.0,100.0,3855.9,4.0,Shipped,Medium,38.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Marta's Replicas Co.,10305.0,S10_4962,2004-10-13,38.0,100.0,6680.78,13.0,Shipped,Medium,16.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Canadian Gift Exchange Network,10313.0,S10_4962,2004-10-22,40.0,100.0,6678.0,7.0,Shipped,Medium,32.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
Online Diecast Creations Co.,10322.0,S10_4962,2004-11-04,46.0,61.99,2851.54,8.0,Shipped,Small,41.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
"Volvo Model Replicas, Co",10334.0,S10_4962,2004-11-19,26.0,100.0,3188.12,2.0,On Hold,Medium,25.0,5.0,Fact_Sales,,,,,,,,,,,,,,,
"Australian Collectors, Co.",10347.0,S10_4962,2004-11-29,27.0,100.0,4428.0,2.0,Shipped,Medium,11.0,1.0,Fact_Sales,,,,,,,,,,,,,,,
