CUSTOMERNAME,ORDERNUMBER,PRODUCTCODE,ORDERDATE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,STATUS,DEALSIZE,CUSTOMER_ID,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_ID
Baane Mini Imports,10309,S10_1678,2004-10-15,41,100.0,4394.38,5,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Diecast Classics Inc.,10318,S10_1678,2004-11-02,46,94.74,4358.04,1,Shipped,Medium,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Land of Toys Inc.,10329,S10_1678,2004-11-15,42,100.0,4396.14,1,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
Salzburg Collectables,10341,S10_1678,2004-11-24,41,100.0,7737.93,9,Shipped,Large,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
Souveniers And Things Co.,10361,S10_1678,2004-12-17,20,72.55,1451.0,13,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
La Rochelle Gifts,10375,S10_1678,2005-02-03,21,34.91,733.11,12,Shipped,Small,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
FunGiftIdeas.com,10388,S10_1678,2005-03-03,42,76.36,3207.12,4,Shipped,Medium,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
"UK Collectables, Ltd.",10403,S10_1678,2005-04-08,24,100.0,2434.56,7,Shipped,Small,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,1
Euro Shopping Channel,10417,S10_1678,2005-05-13,66,100.0,7516.08,2,Disputed,Large,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,2
Baane Mini Imports,10103,S10_1949,2003-01-29,26,100.0,5404.62,11,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
"Volvo Model Replicas, Co",10112,S10_1949,2003-03-24,29,100.0,7209.11,1,Shipped,Large,25,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,1
"Corrida Auto Replicas, Ltd",10126,S10_1949,2003-05-28,38,100.0,7329.06,11,Shipped,Large,26,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,1
Technics Stores Inc.,10140,S10_1949,2003-07-24,37,100.0,7374.1,11,Shipped,Large,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Dragon Souveniers, Ltd.",10150,S10_1949,2003-09-19,45,100.0,10993.5,8,Shipped,Large,27,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,1
Classic Legends Inc.,10163,S10_1949,2003-10-20,21,100.0,4860.24,1,Shipped,Medium,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
"Australian Gift Network, Co",10174,S10_1949,2003-11-06,34,100.0,8014.82,4,Shipped,Large,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
"Classic Gift Ideas, Inc",10183,S10_1949,2003-11-13,23,100.0,5372.57,8,Shipped,Medium,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
"Saveley & Henriot, Co.",10194,S10_1949,2003-11-25,42,100.0,7290.36,11,Shipped,Large,31,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,1
Canadian Gift Exchange Network,10206,S10_1949,2003-12-05,47,100.0,9064.89,6,Shipped,Large,32,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,1
West Coast Collectables Co.,10215,S10_1949,2004-01-29,35,100.0,6075.3,3,Shipped,Medium,33,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,1
Cambridge Collectables Co.,10228,S10_1949,2004-03-10,29,100.0,6463.23,2,Shipped,Medium,34,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,1
Super Scale Inc.,10245,S10_1949,2004-05-04,34,100.0,6120.34,9,Shipped,Medium,35,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,1
"Tokyo Collectables, Ltd",10258,S10_1949,2004-06-15,32,100.0,7680.64,6,Shipped,Large,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Souveniers And Things Co.,10270,S10_1949,2004-07-19,21,100.0,4905.39,9,Shipped,Medium,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
Amica Models & Co.,10280,S10_1949,2004-08-17,34,100.0,8014.82,2,Shipped,Large,37,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,1
Scandinavian Gift Ideas,10291,S10_1949,2004-09-08,37,100.0,7136.19,11,Shipped,Large,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,1
Auto Assoc. & Cie.,10304,S10_1949,2004-10-11,47,100.0,10172.7,6,Shipped,Large,39,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,1
Mini Gifts Distributors Ltd.,10312,S10_1949,2004-10-21,48,100.0,11623.7,3,Shipped,Large,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Online Diecast Creations Co.,10322,S10_1949,2004-11-04,40,100.0,6000.4,1,Shipped,Medium,41,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,1
Mini Wheels Co.,10333,S10_1949,2004-11-18,26,100.0,3003.0,3,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
"Australian Collectors, Co.",10347,S10_1949,2004-11-29,30,100.0,3944.7,1,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Mini Gifts Distributors Ltd.,10357,S10_1949,2004-12-10,32,100.0,5691.84,10,Shipped,Medium,40,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,1
Collectables For Less Inc.,10369,S10_1949,2005-01-20,41,100.0,4514.92,2,Shipped,Medium,42,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,1
Corporate Gift Ideas Co.,10381,S10_1949,2005-02-17,36,100.0,8254.8,3,Shipped,Large,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
"Anna's Decorations, Ltd",10391,S10_1949,2005-03-09,24,100.0,2416.56,4,Shipped,Small,43,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,1
Quebec Home Shopping Network,10411,S10_1949,2005-05-01,23,100.0,4140.23,9,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Euro Shopping Channel,10424,S10_1949,2005-05-31,50,100.0,12001.0,6,In Process,Large,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,3
Land of Toys Inc.,10107,S10_2016,2003-02-24,39,99.91,3896.49,5,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
"Australian Collectors, Co.",10120,S10_2016,2003-04-29,29,96.34,2793.86,3,Shipped,Small,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Lyon Souveniers,10134,S10_2016,2003-07-01,27,100.0,3307.77,5,Shipped,Medium,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Toys4GrownUps.com,10145,S10_2016,2003-08-25,37,100.0,5192.95,9,Shipped,Medium,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Corporate Gift Ideas Co.,10159,S10_2016,2003-10-10,37,100.0,5016.83,17,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Technics Stores Inc.,10168,S10_2016,2003-10-28,27,100.0,3660.93,4,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
Daedalus Designs Imports,10180,S10_2016,2003-11-11,42,100.0,4695.6,12,Shipped,Medium,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
Herkku Gifts,10188,S10_2016,2003-11-18,38,96.34,3660.92,4,Shipped,Medium,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Mini Wheels Co.,10201,S10_2016,2003-12-01,24,100.0,3025.92,5,Shipped,Medium,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
Osaka Souveniers Co.,10210,S10_2016,2004-01-12,23,100.0,3009.09,2,Shipped,Medium,45,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,1
"Australian Collectors, Co.",10223,S10_2016,2004-02-20,47,100.0,5422.39,4,Shipped,Medium,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Motor Mint Distributors Inc.,10236,S10_2016,2004-04-03,22,100.0,2852.08,1,Shipped,Small,46,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,1
Tekni Collectables Inc.,10251,S10_2016,2004-05-18,44,100.0,5756.52,5,Shipped,Medium,13,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,1
Gift Depot Inc.,10263,S10_2016,2004-06-28,40,100.0,4472.0,5,Shipped,Medium,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
La Rochelle Gifts,10275,S10_2016,2004-07-23,22,100.0,2904.44,4,Shipped,Small,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
Marta's Replicas Co.,10285,S10_2016,2004-08-27,47,100.0,6484.59,9,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
Atelier graphique,10298,S10_2016,2004-09-27,39,96.34,3757.26,1,Shipped,Medium,47,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,1
Mini Classics,10308,S10_2016,2004-10-15,34,100.0,4043.96,2,Shipped,Medium,48,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,1
Diecast Classics Inc.,10318,S10_2016,2004-11-02,45,100.0,5566.5,4,Shipped,Medium,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Land of Toys Inc.,10329,S10_2016,2004-11-15,20,100.0,3176.0,2,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
"Tokyo Collectables, Ltd",10339,S10_2016,2004-11-23,40,68.92,2756.8,4,Shipped,Small,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Souveniers And Things Co.,10361,S10_2016,2004-12-17,26,51.15,1329.9,8,Shipped,Small,21,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,1
"Australian Gift Network, Co",10374,S10_2016,2005-02-02,39,100.0,5288.01,5,Shipped,Medium,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
FunGiftIdeas.com,10388,S10_2016,2005-03-03,50,44.51,2225.5,5,Shipped,Small,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
Auto Canal Petit,10402,S10_2016,2005-04-07,45,100.0,5833.8,1,Shipped,Medium,10,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,1
Euro Shopping Channel,10417,S10_2016,2005-05-13,45,100.0,5887.35,5,Disputed,Medium,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,2
Land of Toys Inc.,10107,S10_4698,2003-02-24,27,100.0,6065.55,4,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
"Australian Collectors, Co.",10120,S10_4698,2003-04-29,46,100.0,9264.86,2,Shipped,Large,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Lyon Souveniers,10134,S10_4698,2003-07-01,31,100.0,7023.98,4,Shipped,Large,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
Toys4GrownUps.com,10145,S10_4698,2003-08-25,33,100.0,5176.38,8,Shipped,Medium,4,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,1
Corporate Gift Ideas Co.,10159,S10_4698,2003-10-10,22,100.0,4132.7,16,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Technics Stores Inc.,10168,S10_4698,2003-10-28,20,100.0,4183.0,3,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
Daedalus Designs Imports,10180,S10_4698,2003-11-11,41,100.0,8892.9,11,Shipped,Large,7,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,1
Herkku Gifts,10188,S10_4698,2003-11-18,45,100.0,8714.7,3,Shipped,Large,8,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,1
Mini Wheels Co.,10201,S10_4698,2003-12-01,49,100.0,8065.89,4,Shipped,Large,9,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,1
Osaka Souveniers Co.,10210,S10_4698,2004-01-12,34,100.0,6123.4,1,Shipped,Medium,45,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,1
"Australian Collectors, Co.",10223,S10_4698,2004-02-20,49,100.0,9774.03,3,Shipped,Large,11,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,1
Vitachrome Inc.,10237,S10_4698,2004-04-05,39,100.0,7023.9,9,Shipped,Large,12,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,1
Tekni Collectables Inc.,10251,S10_4698,2004-05-18,43,100.0,7078.23,4,Shipped,Large,13,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,1
Gift Depot Inc.,10263,S10_4698,2004-06-28,41,100.0,8336.94,4,Shipped,Large,14,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,1
La Rochelle Gifts,10275,S10_4698,2004-07-23,36,100.0,6901.92,3,Shipped,Medium,15,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,1
Marta's Replicas Co.,10285,S10_4698,2004-08-27,27,100.0,5438.07,8,Shipped,Medium,16,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,1
"Toys of Finland, Co.",10299,S10_4698,2004-09-30,29,100.0,6683.34,11,Shipped,Medium,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
Mini Classics,10308,S10_4698,2004-10-15,20,100.0,4570.4,1,Shipped,Medium,48,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,1
Diecast Classics Inc.,10318,S10_4698,2004-11-02,37,100.0,7667.14,3,Shipped,Large,19,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,1
Land of Toys Inc.,10329,S10_4698,2004-11-15,26,100.0,5868.2,3,Shipped,Medium,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,1
"Tokyo Collectables, Ltd",10339,S10_4698,2004-11-23,39,76.67,2990.13,3,Shipped,Small,36,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,1
Technics Stores Inc.,10362,S10_4698,2005-01-05,22,100.0,3664.1,4,Shipped,Medium,6,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,1
"Australian Gift Network, Co",10374,S10_4698,2005-02-02,22,100.0,3834.38,1,Shipped,Medium,29,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,1
FunGiftIdeas.com,10388,S10_4698,2005-03-03,21,86.77,1822.17,7,Shipped,Small,22,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,1
"UK Collectables, Ltd.",10403,S10_4698,2005-04-08,66,100.0,11886.6,9,Shipped,Large,23,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,1
Euro Shopping Channel,10417,S10_4698,2005-05-13,56,100.0,9218.16,4,Disputed,Large,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,2
Danish Wholesale Imports,10105,S10_4757,2003-02-11,50,100.0,7208.0,2,Shipped,Large,49,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,1
Salzburg Collectables,10119,S10_4757,2003-04-28,46,100.0,5004.8,11,Shipped,Medium,20,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,1
"Stylish Desk Decors, Co.",10129,S10_4757,2003-06-12,33,100.0,4398.24,2,Shipped,Medium,50,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,1
Mini Creations Ltd.,10143,S10_4757,2003-08-10,49,100.0,5597.76,15,Shipped,Medium,51,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,1
"Toys of Finland, Co.",10155,S10_4757,2003-10-06,32,100.0,4526.08,13,Shipped,Medium,17,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,1
Scandinavian Gift Ideas,10167,S10_4757,2003-10-23,44,100.0,5924.16,9,Cancelled,Medium,38,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,4
Alpha Cognac,10178,S10_4757,2003-11-08,24,100.0,3492.48,12,Shipped,Medium,52,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,1
"Double Decker Gift Stores, Ltd",10186,S10_4757,2003-11-14,26,100.0,3854.24,9,Shipped,Medium,53,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,1
Enaco Distributors,10197,S10_4757,2003-11-26,45,100.0,5324.4,6,Shipped,Medium,54,(93) 203 4555,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,1
"Men 'R' US Retailers, Ltd.",10209,S10_4757,2004-01-09,39,100.0,5197.92,8,Shipped,Medium,55,2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael,1
Collectable Mini Designs Co.,10222,S10_4757,2004-02-19,49,100.0,5997.6,12,Shipped,Medium,56,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,1
Land of Toys Inc.,10248,S10_4757,2004-05-07,20,100.0,2910.4,3,Cancelled,Small,1,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,4
Quebec Home Shopping Network,10261,S10_4757,2004-06-17,27,100.0,3378.24,1,Shipped,Medium,44,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,1
Petit Auto,10273,S10_4757,2004-07-21,30,100.0,3508.8,4,Shipped,Medium,57,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,1
"Royal Canadian Collectables, Ltd.",10283,S10_4757,2004-08-20,25,100.0,2992.0,6,Shipped,Small,58,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,1
Gifts4AllAges.com,10295,S10_4757,2004-09-10,24,100.0,3427.2,1,Shipped,Medium,59,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,1
"Classic Gift Ideas, Inc",10307,S10_4757,2004-10-14,22,100.0,2692.8,9,Shipped,Small,30,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,1
giftsbymail.co.uk,10316,S10_4757,2004-11-01,33,100.0,4128.96,17,Shipped,Medium,60,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,1
Baane Mini Imports,10325,S10_4757,2004-11-05,47,64.93,3051.71,6,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
Classic Legends Inc.,10337,S10_4757,2004-11-21,25,48.05,1201.25,8,Shipped,Small,28,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,1
Euro Shopping Channel,10350,S10_4757,2004-12-02,26,75.47,1962.22,5,Shipped,Small,24,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,1
Reims Collectables,10359,S10_4757,2004-12-15,48,54.68,2624.64,6,Shipped,Small,2,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,1
"Oulu Toy Supplies, Inc.",10373,S10_4757,2005-01-31,39,100.0,4046.25,3,Shipped,Medium,61,981-443655,Torikatu 38,,Oulu,,90110,Finland,EMEA,Koskitalo,Pirkko,1
Corporate Gift Ideas Co.,10384,S10_4757,2005-02-23,34,100.0,4846.7,4,Shipped,Medium,5,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,1
Lyon Souveniers,10395,S10_4757,2005-03-17,32,100.0,3370.56,2,Shipped,Medium,3,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,1
The Sharp Gifts Warehouse,10400,S10_4757,2005-04-01,64,100.0,9661.44,9,Shipped,Large,62,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA,,Frick,Sue,1
Gifts4AllAges.com,10414,S10_4757,2005-05-06,19,100.0,2764.88,3,On Hold,Small,59,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri,5
Baane Mini Imports,10103,S10_4962,2003-01-29,42,100.0,5398.26,4,Shipped,Medium,18,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,1
